p0 init
p1 init
p2 init
p3 init
p4 init
p5 init
p6 init
p7 init
p8 init
p9 init
p10 init
p11 init
p12 init
p13 init
p14 init
p15 init
p0 compute 12500000
p1 compute 12500000
p2 compute 12500000
p3 compute 12500000
p4 compute 12500000
p5 compute 12500000
p6 compute 12500000
p7 compute 12500000
p8 compute 15000000
p9 compute 15000000
p10 compute 15000000
p11 compute 15000000
p12 compute 15000000
p13 compute 15000000
p14 compute 15000000
p15 compute 15000000
p0 sleep 0.035
p1 sleep 0.035
p2 sleep 0.035
p3 sleep 0.035
p4 sleep 0.035
p5 sleep 0.035
p6 sleep 0.035
p7 sleep 0.035
p8 sleep 0.03
p9 sleep 0.03
p10 sleep 0.03
p11 sleep 0.03
p12 sleep 0.03
p13 sleep 0.03
p14 sleep 0.03
p15 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p8 compute 15000000
p9 compute 15000000
p10 compute 15000000
p11 compute 15000000
p12 compute 15000000
p13 compute 15000000
p14 compute 15000000
p15 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p8 sleep 0.03
p9 sleep 0.03
p10 sleep 0.03
p11 sleep 0.03
p12 sleep 0.03
p13 sleep 0.03
p14 sleep 0.03
p15 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p8 compute 15000000
p9 compute 15000000
p10 compute 15000000
p11 compute 15000000
p12 compute 15000000
p13 compute 15000000
p14 compute 15000000
p15 compute 15000000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p8 sleep 0.03
p9 sleep 0.03
p10 sleep 0.03
p11 sleep 0.03
p12 sleep 0.03
p13 sleep 0.03
p14 sleep 0.03
p15 sleep 0.03
p0 compute 15000000
p1 compute 15000000
p2 compute 15000000
p3 compute 15000000
p4 compute 15000000
p5 compute 15000000
p6 compute 15000000
p7 compute 15000000
p8 compute 12500000
p9 compute 12500000
p10 compute 12500000
p11 compute 12500000
p12 compute 12500000
p13 compute 12500000
p14 compute 12500000
p15 compute 12500000
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p8 sleep 0.03
p9 sleep 0.03
p10 sleep 0.035
p11 sleep 0.035
p12 sleep 0.035
p13 sleep 0.035
p14 sleep 0.035
p15 sleep 0.035
p0 send p8 2712000
p8 recv p0
p1 send p9 2712000
p9 recv p1
p2 send p10 2712000
p10 recv p2
p3 send p11 2712000
p11 recv p3
p4 send p12 2712000
p12 recv p4
p5 send p13 2712000
p13 recv p5
p6 send p14 2712000
p14 recv p6
p7 send p15 2712000
p15 recv p7
p0 sleep 0.03
p1 sleep 0.03
p2 sleep 0.03
p3 sleep 0.03
p4 sleep 0.03
p5 sleep 0.03
p6 sleep 0.03
p7 sleep 0.03
p8 sleep 0.03
p9 sleep 0.03
p10 sleep 0.03
p11 sleep 0.03
p12 sleep 0.03
p13 sleep 0.03
p14 sleep 0.03
p15 sleep 0.03
p0 compute 12500000
p1 compute 12500000
p2 compute 12500000
p3 compute 12500000
p4 compute 12500000
p5 compute 12500000
p6 compute 12500000
p7 compute 12500000
p8 compute 12500000
p9 compute 12500000
p10 compute 12500000
p11 compute 12500000
p12 compute 12500000
p13 compute 12500000
p14 compute 12500000
p15 compute 12500000
p0 sleep 0.035
p1 sleep 0.035
